player,team,total_shots,total_goals,total_passes,completed_passes,dribbles,interceptions
Philip Foden,England,1,0,61,225,3,2
Piero Martín Hincapié Reyna,Ecuador,0,0,199,571,0,5
Pierre Kunde Malong,Cameroon,5,0,51,178,0,3
Pierre-Emile Højbjerg,Denmark,2,0,224,672,2,2
Piotr Zieliński,Poland,3,1,153,465,4,2
Przemysław Frankowski,Poland,1,0,73,290,1,3
Rafael Alexandre Conceição Leão,Portugal,5,2,45,196,7,1
Raheem Sterling,England,1,1,58,226,3,1
Ramin Rezaeian,Iran,2,1,105,309,3,5
Randal Kolo Muani,France,5,2,36,248,7,1
Raphael Dias Belloli,Brazil,8,0,150,580,11,2
Raphaël Adelino José Guerreiro,Portugal,3,1,191,498,1,2
Raphaël Varane,France,3,0,280,786,1,6
Rasmus Nissen Kristensen,Denmark,0,0,178,489,4,3
Raúl Alonso Jiménez Rodríguez,Mexico,0,0,32,87,0,1
Remo Freuler,Switzerland,3,1,149,512,4,6
Ricardo Iván Rodríguez Araya,Switzerland,0,0,227,585,1,1
Ricardo Jorge Luz Horta,Portugal,3,1,47,157,0,2
Richarlison de Andrade,Brazil,8,3,54,362,7,1
Richie Laryea,Canada,2,0,45,209,6,0
Riley McGree,Australia,3,0,73,345,1,6
Ritsu Doan,Japan,4,2,57,293,10,5
Robert Lewandowski,Poland,12,2,91,507,10,3
Robert Skov,Denmark,0,0,21,65,2,1
Rodrigo Bentancur Colmán,Uruguay,3,0,158,501,5,9
Rodrigo Hernández Cascante,Spain,1,0,679,1871,0,4
Rodrigo Javier De Paul,Argentina,7,0,563,1744,13,10
Rodrygo Silva de Goes,Brazil,7,0,112,427,8,3
Romain Saïss,Morocco,1,1,193,545,1,6
Romelu Lukaku Menama,Belgium,5,0,9,57,1,0
Ronald Alberto Matarrita Ulate,Costa Rica,0,0,29,78,0,0
Ruben Vargas,Switzerland,3,0,114,390,2,1
Rúben Diogo Da Silva Neves,Portugal,2,0,259,774,0,2
Rúben Santos Gato Alves Dias,Portugal,1,0,266,758,0,3
Saad Abdullah Al Sheeb,Qatar,0,0,21,57,0,0
Sadegh Moharrami,Iran,0,0,26,95,2,3
